Drug,Y
CC(=O)Nc1ccccc1,1
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=CC(=O)O)c(C)c1C,1
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,1
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,1
CCNC[C@H](C)c1cccc(C(F)(F)F)c1,1
CC(C)NC[C@@H](O)c1cc(O)cc(O)c1,1
CCN(CC)CC(=O)Nc1c(C)cccc1C,1
Cc1cccc(C)c1OC[C@H](C)N,1
OC[C@H](O)COc1ccc(Cl)cc1,1
C=CCOc1ccccc1OC[C@@H](O)CNC(C)C,1
CCN(C)C(=O)Oc1cccc([C@@H](C)N(C)C)c1,1
COc1cc(C)c([S+](C)[O-])cc1OC,1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1
COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,1
C[C@@H](NC(C)(C)C)C(=O)c1ccc(Cl)cc1,1
CC(=O)N(C[C@H](O)CO)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1
O=C(N[C@H](CO)[C@@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,1
CC(=O)Nc1ccc(O)cc1,1
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,1
N[C@H](CCC(=O)O)c1ccc(Cl)cc1,1
CC(C)N[C@@H](O)c1ccc(O)c(O)c1,1
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1
CCN(CC)[C@H](C)C(=O)c1ccccc1,1
CC(C)(C)NC[C@@H](O)c1ccc(O)c(C(=O)O)c1,1
CC(=O)Oc1ccccc1C(=O)O,1
CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,1
COP(=O)(C[C@H](c1ccc(Cl)cc1)P(=O)(OC)OC)OC,1
O=P(O)(O)C(Cc1ccc(Cl)cc1)P(=O)(O)O,0
CC[N+](C)(C)Cc1ccccc1Br,0
Nc1ccc(O)c(C(=O)O)c1,1
COc1cccc(C[C@H](C)N)c1,1
C[C@H](N)[C@@H](O)c1ccccc1,1
CC(=O)Nc1ccc([C@H](O)CNC(C)C)cc1,1
CC[N+](C)(C)c1cccc(O)c1,0
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0
CC(C)NC[C@H](O)COc1cccc(NS(C)(=O)=O)c1,1
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0
N=C(N)N/N=C/c1c(Cl)cccc1Cl,1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,1
CNNCc1ccc(C(=O)NC(C)C)cc1,1
CC(C)c1cccc(C(C)C)c1O,1
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1
CN[C@@H](C)[C@@H](O)c1ccccc1,1
C=CCc1ccccc1OC[C@@H](O)CNC(C)C,1
C#CCN(C)[C@@H](C)Cc1ccccc1,1
NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,1
C[C@H](N)Cc1ccccc1,1
Cc1cccc(C)c1NC(=O)NCCCNC(C)C,1
N[C@H](CO)C(=O)NNCc1ccc(O)c(O)c1O,1
CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,1
Cc1cccc(C)c1NC(=O)[C@@H](C)N,1
COc1ccccc1OC[C@H](O)COC(N)=O,1
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,1
CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,1
CCC(=O)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,1
NC(=O)OCC(COC(N)=O)c1ccccc1,1
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,1
CC(C)(C)NC[C@@H](O)c1cc(O)cc(O)c1,1
O=[P@@]1(N(CCCl)CCCl)OCCCN1CCCl,1
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,1
C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,1
COc1ccccc1OCCNC[C@@H](O)OCc1cccc2[nH]c3ccccc3c12,1
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1
O=C(NC[C@@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,1
CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
CCC[C@@H](N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,1
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
O=c1[nH]c2ccccc2n1CCCN1CCC(Nn2c(=O)[nH]c3cc(Cl)ccc32)CC1,1
Nc1c2c(nc3ccccc13)CCCC2,1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,1
O=C(O)Cc1ccccc1Nc1ccc(Cl)cc1Cl,1
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,1
CN(C)CCC[C@@H]1c2ccccc2COc2ccccc21,1
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1
CCO[C@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,1
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,1
Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@H]3C2)cc1,1
NC(=O)N1C(=O)[C@@H](C(=O)c2cccs2)c2cc(Cl)ccc21,1
CN(C)[C@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@@H]3[C@H](O)[C@@H]12,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,1
COCC1=C(C(=O)O[C@H](C)OC(=O)OC(C)C)N2C(=O)[C@H](NC(=O)C(=NOC)c3csc(N)n3)[C@@H]2SC1,1
C[C@@H]1[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0
COc1ccc(C[C@H]2c3cc(OC)c(OC)cc3CC[N@@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@+]2(C)CCc3cc(OC)c(OC)cc3[C@@H]2Cc2ccc(OC)c(OC)c2)cc1OC,0
O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0
CC[C@]1(CCC(C)C)C(=O)N=C(O)N=C1O,1
CCOc1ccccc1OC[C@H]1COCCN1,1
CC(C)n1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,1
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O,1
O=C(COCCOCCOCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,0
CCCC(=O)[C@]1(c2ccccc2)CCC=C[C@@H]1N(C)C,1
O=c1[nH]c2ccccc2n1C1CCN(CCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,0
C[C@H](c1cc2ccccc2s1)N(O)C(N)=O,1
C=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]12)C(=NOC)c1csc(N)n1,0
COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccccc1,1
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@@H]3CC[C@@]21C,1
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C,1
O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,1
Fc1ccc([C@H]2CCNC[C@@H]2COc2ccc3c(c2)OCO3)cc1,1
CCOC(=O)C1=C[C@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,1
CC(=CCO)/C=C/C=C(C)\C=C\C1=C(C)CCCC1(C)C,1
CC(=CC(=O)O)/C=C/C=C(C)\C=C/C1=C(C)CCCC1(C)C,1
O=C(O)[C@@H]1C(=CCO)O[C@H]2CC(=O)N12,1
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,1
CCN1CC[C@H](CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)C1,1
CC(C)NC[C@@H]1CCc2cc(CO)c([N+](=O)[O-])cc2N1,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,1
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,1
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1
CC(C)[C@H]1CC[C@@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,1
C[C@H]1C[C@H]2[C@H]([C@H](O)C[C@]3(C)[C@@H]2CC[C@@]3(O)C(=O)CO)[C@]2(C)C=CC(=O)C=C12,1
C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@H]3C[C@@H](O)[C@@](O)(C(=O)CO)[C@]3(C)C[C@@H](O)[C@@]12F,1
C[C@@]12C=CC(=O)C=C1CC[C@H]1[C@H]2[C@H](O)C[C@]2(C)[C@@H]1CC[C@@]2(O)C(=O)CO,1
C[C@@H]1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1
COc1ccc(CCN(C)CCC[C@](C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,1
CN[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2C[C@@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@@H]1O,0
COc1cc2nc(N3CCN(C(=O)[C@@H]4COc5ccccc5O4)CC3)nc(N)c2cc1OC,1
CCCC[C@@H]1C(=O)C(=O)N(c2ccccc2)N1c1ccccc1,1
COC(=O)[C@H](c1ccccc1)[C@@H]1CCCCN1,1
Oc1ccc([C@H](O)[C@@H]2CCCCN2)cc1O,1
Cc1c(N(C)C)c(=N)n(-c2ccccc2)n1C,1
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,1
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,1
N=C(NCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,0
O=C(O)[C@H](CCc1ccccc1)N[C@@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,1
Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)cc(Cl)c[n+]2[O-])cn1,1
C[C@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,1
C[C@@H](Cc1ccc(O)cc1)N[C@@H](O)Cc1cc(O)cc(O)c1,1
O=C1NS(=O)(=O)c2ccccc21,1
N#C[C@H](O[C@@H]1O[C@@H](CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O)c1ccccc1,0
COc1cccc(C(=O)CCN[C@@H](C)[C@@H](O)c2ccccc2)c1,1
Cc1ccc(O)c([C@@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,1
CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,1
NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,1
Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1,1
CNCCCCOc1ccccc1Cc1ccccc1,1
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,1
COc1ccc2cc(CCC(C)=O)ccc2c1,1
CC(C)N[C@@H](C)[C@@H](O)c1cccc2ccccc12,1
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1
COc1ccc2c(C(=S)N(C)CC(=O)O)ccc(C(F)(F)F)c2c1,1
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,1
CC(C)(Oc1ccc(CCNC(=O)c2ccccc2)cc1)C(=O)O,1
CN(C)CCC=C1c2ccccc2CCc2ccccc21,1
CNCCC=C1c2ccccc2CCc2ccccc21,1
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,1
O=C(O[C@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,1
N=C(N)NC[C@@H]1COC2(CCCCC2)O1,1
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@@H]3CC[C@@]21CC,1
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,1
NC(=O)c1cnccn1,1
CN1CCN(C(=O)O[C@@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,1
C[C@@]12CCC3=C4CCC(=O)C=C4CC[C@@H]3[C@H]1CC[C@]2(O)CC#N,1
CN1C[C@@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@@H]21,1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,1
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,1
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,1
CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O,1
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,1
CC(=O)O[C@@H]1[C@H]([N+]2(C)CCCCC2)C[C@@H]2[C@@H]3CC[C@@H]4C[C@@H](OC(C)=O)[C@@H]([N+]5(C)CCCCC5)C[C@]4(C)[C@@H]3CC[C@]21C,0
COc1ccc([C@]2(C#N)CC[C@H](C(=O)O)CC2)cc1OC1CCCC1,1
CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,1
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,1
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1
O=c1[nH]cnc2[nH]ncc12,1
C[N+](C)(CCOc1ccccc1)Cc1ccccc1,0
CN1[C@@H]2CC[C@H]1C[C@H](OC(=O)[C@@H](CO)c1ccccc1)C2,1
CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C,1
CCC1(c2ccccc2)C(=O)NCNC1=O,1
O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,1
CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,1
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,1
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@H](Cc1ccccc1)NS2(=O)=O,1
CCC[C@@H]1C[C@H](C(=O)N[C@H]([C@@H]2O[C@@H](SC)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](C)O)N(C)C1,0
CCC[C@@H]1C[C@H](C(=O)N[C@H]([C@@H]2O[C@@H](SC)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](C)Cl)N(C)C1,1
Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C,1
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,1
COC(=O)c1c(C)cc([N+](=O)[O-])c(C(=O)OCCN(C)Cc2ccccc2)c1C1C=C(C)NC(C)=C1,1
CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12,1
NC1=NC(=O)N([C@H]2CS[C@H](CO)O2)CC1,1
Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,1
NS(=O)(=O)Cc1noc2ccccc12,1
O[C@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@H]2C=C[C@H]1C2,1
C[N+]1(C)CC[C@H](OC(=O)[C@@](O)(c2ccccc2)C2CCCC2)C1,0
CCCN1C[C@@H](NS(=O)(=O)N(CC)CC)C[C@@H]2Cc3c(O)cccc3C[C@@H]21,1
N=C1Cc2ccccc2N(C(N)=O)c2ccccc21,1
C[C@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CC[C@H](C(=O)N(C)C)N3)[C@@H](C)[C@H]12,0
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,1
CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@]1(C)O,1
C=CC[N@+]12CC[C@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@]9(CC[N@@+]8(CC=C)C/C7=C\CO)c7ccccc7N(C=C([C@H](C[C@H]31)/C(=C/CO)C2)[C@@H]54)[C@@H]69,0
COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,1
C=CCN1CC[C@@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@@H]1C5,1
COc1ccc2c3c1O[C@@H]1C(=O)CC[C@]4(O)[C@H](C2)N(C)CC[C@@]314,1
CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2,1
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,1
CC(C)COC[C@@H](CN1CCCC1)N(Cc1ccccc1)c1ccccc1,1
Cc1nc(NCc2cccnc2)c(C#N)c(=O)[nH]1,1
CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,1
CC(C)(C)NC(=O)[C@@H]1CC[C@@H]2[C@@H]3CC[C@@H]4NC(=O)C=C[C@@]4(C)[C@@H]3CC[C@]21C,1
Oc1ccc2c3c1O[C@@H]1[C@@H](O)CC[C@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@@]314,1
C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,1
CC(=O)O[C@@H]1[C@H]([N+]2(C)CCCCC2)C[C@@H]2[C@@H]3CC[C@@H]4C[C@@H](OC(C)=O)[C@@H](N5CCCCC5)C[C@]4(C)[C@@H]3CC[C@]21C,0
CCN1CC[C@]23[C@@H]4C=C[C@H](O)[C@@H]2OC2=C(O)C=C[C@H](C[C@@H]41)[C@@H]23,1
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1
CNS(=O)(=O)CCc1ccc2[nH]c(C3CCN(C)CC3)cc2c1,1
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1
COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1,1
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,1
O=C1NNC(=O)C1(c1ccccc1)c1ccccc1,1
CCOC(=O)[C@@H](CCc1ccccc1)N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,1
NC12CC3CC(CC(C3)C1)C2,1
CN(C)CC[C@H](c1ccccc1)c1ccccn1,1
O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,1
C[C@@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,1
C[n+]1ccccc1/C=N/O,0
CN1c2ccccc2N(CCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,1
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,1
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1
Cc1ncc([N+](=O)[O-])n1CCO,1
C/N=C(\NC#N)NCCSCc1nc[nH]c1C,1
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,1
COc1ccc2c3c1O[C@@H]1C[C@@H](O)C=C[C@]31CCN(C)C2,1
C=C[C@@]12CC[C@@H](O[C@H]3C[C@@H](OC)[C@@H](O)[C@H](C)O3)C[C@]1(O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H](C3=CC(=O)OC3)CC[C@@]12O,1
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,1
CSc1ccc2ncn(/C=C/C(=O)O)c(=O)c2c1,1
CC[C@@H]1C[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C[C@H](C)[N+]12CCCC2,0
CN1CCC[C@@H]1c1cccnc1,1
c1ccc(CC2=NCCN2)cc1,1
O=C(c1ccccc1)c1ccc2n1CC[C@@H]2C(=O)O,1
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1
C[C@@H]1O[C@@H](O[C@H]2[C@@H](O)[C@H](O)[C@H](O[C@H]3[C@@H](O)[C@H](O)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@@H](O)[C@@H](O)[C@@H]1N[C@@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O,0
Cc1cnc(C[S+]([O-])c2nc3ccccc3[nH]2)cc1OCC(F)(F)F,1
COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,1
COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,1
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,1
Nc1nc2ccc(OC(F)(F)F)cc2s1,1
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,1
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,1
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,1
Nc1cc(-c2ccncc2)c[nH]c1=O,1
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,1
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,1
O=C(Oc1ccccc1C(=O)O)c1ccccc1O,1
CON=C(C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@@H]12)c1csc(N)n1,0
CC(C)CCC[C@H](C)[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C,1
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,1
CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,0
CCC#CC[C@H](C)[C@@H](O)C#C[C@@H]1[C@H]2C/C(=C\COCC(=O)O)C[C@@H]2C[C@@H]1O,1
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]2CC[C@H]3[C@@H](C)CCCC(C)C)C[C@H](O)C[C@H]1O,1
