Bioavailability,Structures
2.0,NC[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
2.0,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N
2.0,C[N@@+]1(CC2CC2)[C@@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@H]1O[C@H]12
2.0,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
2.0,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
2.0,NC(=O)[C@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
2.0,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
2.0,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
2.24,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1
2.5,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
2.5,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12
2.7,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
3.0,CC(C)[N@@+]1(C)[C@@H]2CC[C@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2
3.0,C[C@H]1[C@@H](O)[C@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C\[C@@](O)(O[C@H]2O[C@@H](C)[C@H](O)[C@@H](N)[C@@H]2O)C[C@H]2O[C@@](O)(C[C@H](O)C[C@H](O)[C@@H](O)CC[C@H](O)C[C@H](O)CC(=O)O[C@@H]1C)C[C@H](O)[C@@H]2C(=O)O
3.0,NC[C@@H]1O[C@H](CO[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
3.0,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
3.0,O=c1ccc2ccccc2o1
3.0,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12
3.0,C[C@H]1CC(=O)C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@]21C
3.0,NC[C@H](O)c1ccc(O)c(O)c1
3.0,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C
3.0,CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21
3.0,O=S(=O)(O)O[C@@H]1[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)OC[C@H]1O
3.0,CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)[C@H]1C
4.0,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
4.0,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
4.0,Nc1nc2c(ccn2COC(CO)CO)c(=O)[nH]1
4.0,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
4.4000001,C#CCN(C)[C@H](C)Cc1ccccc1
5.0,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13
5.0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
5.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@@H]1c1ccccc1[N+](=O)[O-]
5.0,COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2
5.0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]21
5.0,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
5.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
5.0,NC[C@@H](O)c1cccc(O)c1
5.0,C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O
5.0,CC(O)(P(=O)(O)O)P(=O)(O)O
5.0,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1
5.0,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
5.0,CC1(C)S[C@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@@H]1C(=O)O
5.0,CC(=O)N[C@H](CS)C(=O)O
5.5,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
6.0,Oc1ccc([C@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1
6.0,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O
6.0,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1
6.0,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
6.0,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1
6.3000002,CCCCN(CCCC)CC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12
6.5,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
6.6999998,CCOC(=O)C1=C[C@]2(CC)CCCN3C=Cc4c(n1c1ccccc41)[C@@H]32
7.0,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
7.0,O=C(NCCNC[C@@H](O)COc1ccc(O)cc1)N1CCOCC1
7.0,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1
7.0,Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1
7.0,O=C(O)C(=O)O
7.0,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
7.0,C[C@@H](CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21
7.5999999,CN(C)C(=O)Oc1ccc[n+](C)c1
8.0,N#Cc1ccccc1OC[C@H](O)CNCCNC(=O)Cc1ccc(O)cc1
8.0,C=CCc1ccccc1OC[C@@H](O)CNC(C)C
8.0,COc1ccc(OC[C@H]2CN(C)CC[C@@H]2c2ccccc2)cc1
8.0,CCC1=C2Cn3c(cc4c(c3=O)COC(=O)[C@]4(O)CC)C2=N[C@H]2C=CC(OC(=O)N3CCC(N4CCCCC4)CC3)=C[C@H]12
8.0,O=c1nc(O)ccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
8.0,CCCCCCCN(CC)CCC[C@H](O)c1ccc(NS(C)(=O)=O)cc1
9.0,CC[C@@]1(c2cccc(O)c2)CCCCN(C)C1
9.0,O=C(O)P(=O)(O)O
9.0,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
10.0,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
10.0,CC[C@@H]1C[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C[C@H](C)[N+]12CCCC2
10.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1
10.0,CNC(=O)Oc1ccc2c(c1)[C@@H]1CCN(C)[C@@H]1N2C
10.0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
10.0,CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
10.0,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O
10.0,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
10.0,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@@](C)(NC(=O)[C@H]3C[C@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)C(=O)N12
10.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
10.0,Oc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)NCC3
10.0,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O
11.0,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)O)[C@@H]1c1cccc([N+](=O)[O-])c1
11.0,COc1ccc2c(c1)[C@@]13CCCC[C@@H]1[C@@H](C2)N(C)CC3
11.0,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
11.0,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
11.0,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
11.0,CC(=O)NCCCS(=O)(=O)O
12.0,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@H](O)C[C@@H](O)CC(=O)O
12.0,COc1ccc2c(c1)[C@H](CCNC(C)=O)C=N2
12.0,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1
12.0,CC[C@H]1C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN1CCN(C)CC1)OCCO3
12.0,CC(=O)c1cc([C@@H](O)CN[C@H](C)CCc2ccccc2)ccc1O
12.0,Nc1ncnc2c1ncn2CCOCP(=O)(O)O
12.0,S=c1nc[nH]c2nc[nH]c12
13.0,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
13.0,CCOC(=O)[C@@H](CCc1ccccc1)N[C@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@@H]1C(=O)O
13.0,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
13.0,CCCCc1ncc(/C=C(/Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
14.0,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc([N+](=O)[O-])c1
14.0,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1
14.0,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
14.0,CC(C)(C)NC[C@@H](O)c1cc(O)cc(O)c1
14.0,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
14.0,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1
15.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc(Cl)c1Cl
15.0,O=c1[nH]c2ccccc2n1CCCN1CCC(Nn2c(=O)[nH]c3cc(Cl)ccc32)CC1
15.0,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
15.0,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc([C@H](O)CNC(C)(C)C)c1
15.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
15.0,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
15.0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
15.0,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12
15.0,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
15.0,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1
16.0,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
16.0,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
16.0,CC#CC[C@@H](C)[C@@H](O)/C=C\[C@@H]1[C@H]2C/C(=C\CCCC(=O)O)C[C@H]2C[C@H]1O
16.25,CN(C)CCCN1c2ccccc2Sc2ccccc21
16.5,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc([N+](=O)[O-])c1
17.0,C[N+]1(C)CC[C@@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1
17.0,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
17.0,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
17.0,Nc1c2c(nc3ccccc13)CCCC2
17.5,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C
18.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
18.0,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
18.0,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
18.0,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
18.0,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1
18.0,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C
18.5,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3cnc(N)s3)[C@H]2SC1
19.0,COc1ccc(CCN(C)CCC[C@](C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC
20.0,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
20.0,CN[C@@]1(c2ccccc2Cl)CCCC(=O)C1
20.0,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
20.0,N=C(N)NCCN1CCCCCCC1
20.0,CCOC(=O)C1(c2ccccc2)CCN(CC[C@H](O)c2ccccc2)CC1
20.0,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
20.0,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
20.0,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O
20.0,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341
20.0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)N[C@@H]2[C@@H](NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O
20.0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O
20.0,CC[C@@]12CCCN3CC[C@@H]4c5ccccc5N([C@H]4[C@@H]31)[C@@](O)(C(=O)OC)C2
20.0,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65
20.0,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
20.0,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
20.0,O=C(O)[C@@H](S)[C@H](S)C(=O)O
20.0,CC(=O)OC[C@H]1O[C@@H](S)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
20.0,CN(C)CCN(Cc1cccs1)c1ccccn1
21.0,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(C(=N)NO)cc1)C1CCCCC1
21.0,CN(C)CC(Oc1ccccc1)Oc1ccccc1
21.0,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O
22.0,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1
22.0,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
22.0,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1
22.0,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@@H]1O5
22.0,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2O[N+](=O)[O-]
22.0,C#C[C@@](CCC)(CCC[C@H](C)CCc1ccc(CC)c(CC)c1)c1ccc(CC)c(CC)c1
23.0,CC[N+](C)(C)Cc1ccccc1Br
23.0,O=C1C(O)=C([C@H]2CC[C@@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
23.0,Cc1nnc(C(C)C)n1[C@@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
23.0,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
23.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@H]5[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
23.0,COC(=O)c1c(C)cc([N+](=O)[O-])c(C(=O)OCCN(C)Cc2ccccc2)c1C1C=C(C)NC(C)=C1
23.0,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
23.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C
23.0,NNc1nncc2ccccc12
24.0,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
24.7000008,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1
25.0,C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1
25.0,Cc1ncsc1CCCl
25.0,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
25.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
25.0,NS(=O)(=O)c1cc2c(cc1Cl)N=CN(CSCc1ccccc1)S2(=O)=O
25.0,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC
25.0,CCOc1ccc(NC(C)=O)cc1
