Bioavailability,Structures
55.0,NCCC[C@@](N)(C(=O)O)C(F)F
55.0,NC(N)=N/C(N)=N/CCc1ccccc1
55.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
55.0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1
55.0,CC(C)(C)NC[C@@H](O)COc1ccc(NC(=O)NC2CCCCC2)cc1
55.0,COc1cc2nc(N(C)CCCNC(=O)[C@H]3CCCO3)nc(N)c2cc1OC
55.0,CC(=O)NO
55.0,Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C
55.0,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
55.0,CCCNC(Cc1cccc2c1CC(=O)N2)NCCC
55.0,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
56.0,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
56.0,Cc1cccc(N2C[C@H](CO)OC2=O)c1
57.0,CC(C)/N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
57.0,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@H]1OC(=O)c1ccccc1)N2C
57.0,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C
57.0,C[C@H](N/C(=N\C#N)Nc1ccncc1)C(C)(C)C
57.5,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
58.0,COc1cc(=N)cnn1-c1ccccc1
58.0,CCOC(=O)[C@H](C)C[C@@H](C)C(=O)N1c2ccccc2C[C@H]1C(=O)O
58.0,CCOc1ccc(/C=C2\NCCc3cc(OCC)c(OCC)cc32)cc1OCC
58.0,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1
58.0,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
58.0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12
59.0,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
59.0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
59.0999985,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
60.0,CC1(C)[C@H](C(=O)OCc2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Cl)Cl
60.0,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
60.0,O=C(CCCN1CCC(O)(c2cccc(Cl)c2)CC1)c1ccc(F)cc1
60.0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
60.0,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](C(Cl)Cl)NS2(=O)=O
60.0,CC(C)/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1
60.0,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@H]1C(=O)N2[C@H]1SC(C)(C)[C@@]2(C)C(=O)O
60.0,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
60.0,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
60.0,C=C(Nc1cc(C(F)(F)F)ccc1C(F)(F)F)[C@@H]1CC[C@@H]2[C@H]3CC[C@@H]4NC(=O)C=C[C@@]4(C)[C@@H]3CC[C@]21C
60.0,O=C(O)c1cn(C2CC2)c2nc(N3CCCCC3)c(F)cc2c1=O
60.0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
60.0,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
60.0,NC(=O)c1ncn([C@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
60.0,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
60.0,CN1[C@@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2
60.0,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O
60.0,NCC1(C(=O)O)CCCCC1
60.0,NCC(=O)CCC(=O)O
60.0,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
60.0,C/N=C(\NC#N)NCCSCc1nc[nH]c1C
60.0,CN(C)c1ccc(CSCCNC(=O)c2ccc[n+]([O-])c2)o1
60.0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
60.0,CC1(C)S[C@H]2[C@@H](NC(=O)COc3ccccc3)C(=O)N2[C@@H]1C(=O)O
60.0,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
60.0,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
61.0,COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC
61.0,CC(C)COC[C@@H](CN1CCCC1)N(Cc1ccccc1)c1ccccc1
61.0,CC(C)[C@@H](N)C(=O)OC[C@@H](CO)OCn1cnc2c(=O)nc(N)[nH]c21
61.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
61.0,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
62.0,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C\c2ccc3ccc(Cl)cc3n2)c1
62.0,Cn1c2c(c3ccccc31)C(=O)[C@H](Cn1ccnc1)CC2
62.0,O=S(=O)(O)CCS
62.0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
62.5,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
63.0,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1
63.0,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
63.0,CN(C)CCCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@H](O)CO
63.0,COc1cc2nc(N3CCN(C(=O)[C@@H]4COc5ccccc5O4)CC3)nc(N)c2cc1OC
63.0,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
63.0,C[C@H](S)C(=O)NCC(=O)O
64.0,NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl
64.0,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
64.0,CCN1C[C@@H](CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O
64.0,C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@@H]3CC[C@@]21C
64.0,Nc1nc2ccc(OC(F)(F)F)cc2s1
65.0,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@H]1C
65.0,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
65.0,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
65.0,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1
65.0,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
65.0,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
65.0,c1ccc([C@H]2CN3CCSC3=N2)cc1
65.0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
65.0999985,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
66.0,CNC/C=C(\c1ccc(Br)cc1)c1cccnc1
66.0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12
66.0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
66.0,CN1[C@@H]2CC[C@@H]1CC(OC(=O)c1cn(C)c3ccccc13)C2
67.0,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
67.0,CN[C@@H](C)Cc1ccccc1
67.5,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC
67.5,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]12
68.0,CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12
68.0,CC(=O)Oc1ccccc1C(=O)O
68.0,COc1ccc(OC)c(Cc2cnc3c(C)c(N)nc(N)c3n2)c1
68.0,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O
68.0,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
68.0,NC(N)=NCCC[C@@H](N)C(=O)O
68.0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
69.0,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13
69.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
69.0,CNS(=O)(=O)CCc1ccc2[nH]c(C3CCN(C)CC3)cc2c1
69.0,C[C@@H](CS)C(=O)N1CCC[C@@H]1C(=O)O
70.0,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
70.0,N[C@@H](CCC(=O)O)c1ccc(Cl)cc1
70.0,O=C(NC[C@@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
70.0,CCN(CC)C[C@@H](O)CNC(=O)c1c(OC)c2ccccc2n1-c1ccccc1
70.0,CC(C)NC[C@H](O)COc1cccc2c1N(C(=O)c1cccnc1)CCC2
70.0,CC(=O)O[C@H]1C[C@@H](O[C@H]2[C@@H](O)C[C@@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
70.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
70.0,CCOc1ccccc1OC[C@H]1COCCN1
70.0,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
70.0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
70.0,NC(=O)N1c2ccccc2C=Cc2ccccc21
70.0,O=C1C=CC=C/C1=C1\N/C(=C2/C=CC=CC2=O)N(c2ccc(C(=O)O)cc2)N1
70.0,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
70.0,N[C@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O
70.0,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
70.0,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
70.0,CS(=O)(=O)OCCCCOS(C)(=O)=O
70.0,CC1(C)O[C@@H]2[C@H]3OC(C)(C)O[C@]3(COS(N)(=O)=O)OC[C@H]2O1
70.0,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
70.0,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
70.0,CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
71.0,N[C@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
71.0,NS(=O)(=O)c1cc(Cl)cc(NCc2ccco2)c1C(=O)O
71.0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
71.0,CO/N=C1/CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@H]1CN
71.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
71.0,CC(C)(C)NC[C@@H](O)c1ccc(O)c(C(=O)O)c1
72.0,c1ccc(C2(N3CCCCC3)CCCCC2)cc1
72.0,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
72.0,CN(C)CCOC(c1ccccc1)c1ccccc1
72.0,CC1=CC[C@@H](C(C)(C)O)C[C@@H]1O
72.0,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C
72.5,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
73.0,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
73.0,CC[C@]1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
73.0,CC(C)[C@H]1CC[C@@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
73.5,C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1
74.0,O=[P@@]1(N(CCCl)CCCl)NCCCO1
74.0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
74.0,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1
74.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl
75.0,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
75.0,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
75.0,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
75.0,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
75.0,NC(N)=N/N=C/c1c(Cl)cccc1Cl
75.0,CN1C(=O)[C@@H](O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21
75.0,CCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
75.0,C[C@H](N)Cc1ccccc1
75.0,O=C(O[C@H]1C[C@@H]2C[C@@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
75.0,CCOC(=O)C1=C[C@H](OC(CC)CC)[C@@H](NC(C)=O)[C@H](N)C1
75.0,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O
75.0,O=C(NCCO[N+](=O)[O-])c1cccnc1
75.0,COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1
75.0,N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2
75.0,Nc1nc2ncc(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1
75.0,O[C@@](CCN1CCCC1)(c1ccccc1)C1CCCCC1
76.0,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
76.0,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
76.0,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12
76.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
77.0,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@@H](O)CC1
77.0,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
77.0,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1
77.0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@@H]3C[C@@H]12
77.0,CC[C@H](CO)NCCN[C@H](CC)CO
77.5,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1
78.0,C[C@@H]1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
78.0,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1
78.0,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
78.0,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
78.0,O=C(O)CCCc1ccccc1
78.0,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1
79.0,NC(=O)NO
80.0,COc1ccc(Cl)cc1C(=O)NCCc1cccc(S(=O)(=O)NC(=O)NC2CCCCC2)c1
80.0,OCCOCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
80.0,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
80.0,Clc1ccccc1CN1CCc2sccc2C1
80.0,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1
80.0,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
80.0,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
80.0,C#Cc1ccc2c(c1)CO[C@]2(CCCN(C)C)c1ccc(F)cc1
80.0,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
80.0,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC
80.0,N[C@@H]1CONC1=O
80.0,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314
80.0,NNC(=O)c1ccncc1
80.0,CCCC[C@](C)(O)C/C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
80.0,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O
80.0,CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O
80.0,CCO
80.0,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
80.0,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1
80.0,Nc1ccn([C@H]2CO[C@H](CO)S2)c(=O)n1
80.0,CCc1cc(C(N)=S)ccn1
80.0,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
81.0,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
81.0,NC(N)=NC(=O)Cc1c(Cl)cccc1Cl
81.0,CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1
81.0,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
81.0,Cc1cnc(C[S@@+]([O-])c2nc3ccccc3[nH]2)cc1OCC(F)(F)F
82.0,O=C(N[C@@H](CO)[C@@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
82.0,C[C@@H](CC(c1ccccc1)c1ccccc1)NC(C)(C)C
82.0,Cc1cc2c(OC[C@@H](O)CNC(C)C)cccc2[nH]1
82.0,Cc1cn([C@@H]2C=C[C@H](CO)O2)c(=O)nc1N
82.0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
82.0,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
82.5,CNCCCN1c2ccccc2CCc2ccccc21
82.5,Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1
83.0,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
83.0,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1
83.0,CCN(CC)CCNC(=O)c1ccc(N)cc1
83.0,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1
