Bioavailability,Structures
83.0,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1
83.0,C[C@@H]1CCC[C@H](C)N1CCC[C@](O)(c1ccccc1)c1ccccn1
83.0,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
83.0,CCc1ccc(CCOc2ccc(C[C@@]3(C=O)CNC(=O)S3)cc2)nc1
84.0,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
84.0,Nc1nc(=O)[nH]cc1F
84.0,C=C(N(CC)CC)[C@@]1(c2ccccc2)C[C@H]1CN
84.0,O=C1NS(=O)(=O)c2ccccc21
85.0,C[C@@H](N)Cc1cccc(C(F)(F)F)c1
85.0,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
85.0,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
85.0,CNCCCC1c2ccccc2C=Cc2ccccc21
85.0,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1
85.0,COc1cccc(C(=O)CCN[C@H](C)[C@H](O)c2ccccc2)c1
85.0,CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1
85.0,NC(N)=NC[C@@H]1COC2(CCCCC2)O1
85.0,CC[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
85.0,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
85.0,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1
85.0,C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
85.0,N#C[C@@H]1CCCN1C(=O)CN[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2
85.0,CN[C@@H](C)[C@H](O)c1ccccc1
85.0,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
85.0,COc1cc(C)c([S@@+](C)[O-])cc1OC
85.0,CCCc1cc(=O)[nH]c(=S)[nH]1
86.0,c1ccc(C2(c3ccccc3)C[C@H]2C2=NCCN2)cc1
86.0,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
86.0,NC1=NC(=O)N([C@@H]2CS[C@H](CO)O2)CC1
86.5,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
87.0,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1
87.0,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
87.0,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
87.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
87.0,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
87.0,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
88.0,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
88.0,COc1nc(C)nc(Cl)c1NC1=NCCN1
88.0,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12
88.0,CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2
88.0,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
88.0,CC(=O)Nc1ccc(O)cc1
88.0,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C/c1ccc([S@+](C)[O-])cc1
89.0,CN(C)CC[C@H](c1ccc(Br)cc1)c1ccccn1
89.0,Oc1c(Cl)cc(Cl)c2cccnc12
89.0,O=[N+]([O-])OC[C@@H](O)CO
90.0,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
90.0,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1
90.0,N[C@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1
90.0,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1
90.0,N[C@@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1
90.0,C[C@H]1Nc2ccccc2[C@@H]1NC(=O)c1ccc(Cl)cc1S(N)(=O)=O
90.0,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
90.0,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
90.0,C[C@@H](Oc1c(Cl)cccc1Cl)C1=NCCN1
90.0,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
90.0,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
90.0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
90.0,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
90.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
90.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21
90.0,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N
90.0,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
90.0,NC(=O)OCC(COC(N)=O)c1ccccc1
90.0,CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1
90.0,Cc1cccc(OC[C@@H](O)CNC(C)C)c1
90.0,Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1
90.0,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
90.0,COc1cc2nc(N3CCN(C(=O)[C@@H]4CCCO4)CC3)nc(N)c2cc1OC
90.0,CCc1cccc2c1N[C@@H]1[C@@H]2CCOC1(CC(=O)O)CC(=O)O
90.0,NC(=O)N1c2ccccc2[C@H]2O[C@H]2c2ccccc21
90.0,NC(=O)c1cnccn1
90.0,Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O
90.0,O=C1NNC(=O)C1(c1ccccc1)c1ccccc1
90.0,CCCC[C@H]1C(=O)C(=O)N(c2ccccc2)N1c1ccccc1
90.0,CC(C)C[C@H](CN)CC(=O)O
90.0,Cc1cccc(Nc2ccccc2C(=O)O)c1C
90.0,Cc1cnc(C(=O)O)c[n+]1[O-]
90.0,N[C@@H](C(=O)O)[C@@H](O)c1ccc(O)c(O)c1
90.0,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
90.0,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
90.0,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@@H]2SC1
90.0,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
90.0,C[C@H](C(=O)O)c1ccc(C(=O)c2ccccc2)s1
90.0,Cc1ccsc1C(=CCCN1CCC[C@H](C(=O)O)C1)c1sccc1C
91.0,CN1C(=O)[C@@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21
91.0,O=C(O)[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1(O)O
91.0,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
91.0,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O
92.0,O=[P@@]1(NCCCl)OCCCN1CCCl
92.0,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1
92.0,C[C@@H](C(=O)O)c1ccc(-c2cccc(F)c2)cc1
92.0,CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1
92.0,CCC1(c2ccccc2)C(=O)NCNC1=O
92.0,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1
92.0,C[C@H](C(=O)O)c1cccc(C(=O)c2cccs2)c1
92.5,NCCNCCNCCN
93.0,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
93.0,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@@H]1O
93.0,Nc1nc(=O)n([C@@H]2CC[C@H](CO)O2)cc1F
93.0,COc1ccc(OC)c([C@H](O)CNC(=O)CN)c1
93.0,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1
93.0,CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O
93.0,C#C[C@]1(O)C=CC2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21CC
93.0,CC[C@@]1(C)CC(=O)NC1=O
93.0,Nc1cc(-c2ccncc2)c[nH]c1=O
93.0,Cc1cccc2c1NC(=O)c1cccnc1N2C1CC1
93.0,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@@]3(O)C(=O)C(C(N)=O)=C(O)[C@H](N(C)C)[C@H]3[C@H](O)[C@H]21
93.0,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
93.0,Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1
93.0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
93.0,Cn1cc[nH]c1=S
93.0,CCCN[C@H]1CCc2nc(N)sc2C1
93.5,O=C(O)Cc1nn(-c2ccc(F)cc2)cc1-c1ccc(Cl)cc1
94.0,N[C@@H](CN[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1
94.0,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1
94.0,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(O)CC#N
94.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C=C[C@@]21CC
94.0,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](N)C3=CCC=CC3)[C@H]2SC1
95.0,N#CCCN1C(=O)[C@@H](O)N=C(c2ccccc2F)c2cc(Cl)ccc21
95.0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
95.0,Clc1cccc(Cl)c1N=C1NCCN1
95.0,C[C@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
95.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
95.0,N=C1Cc2ccccc2N(C(N)=O)c2ccccc21
95.0,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
95.0,CN1C(=O)C(C)(C2=CCCCC2)C(=O)N=C1O
95.0,CC[C@]1(CCC(C)C)C(=O)N=C(O)N=C1O
95.0,C[C@H](N)[C@H](O)c1ccccc1
95.0,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
95.0,CC(C)NC[C@H](O)COc1cccc(NS(C)(=O)=O)c1
95.0,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](N)c3ccc(O)cc3)[C@H]2SC1
95.0,Nc1nc(N2CCCCC2)cc[n+]1[O-]
96.0,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
96.0,COc1c(N2CCN[C@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
96.0,COc1cc(N[C@H](C)CCCN)c2ncccc2c1
96.0,Cn1c(=O)c2[nH]cnc2n(C)c1=O
96.0,Cn1nnc2c(C(N)=O)n[nH]c2c1=O
96.0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
96.0,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
96.0,CCN(CC)c1cc(C)nc2ncnn12
96.0,Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C
97.0,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O
97.0,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
97.0,C[C@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
97.0,CN1C(=O)CC[C@H]1c1cccnc1
97.0,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2
97.0,O=C1c2ccccc2C(=O)C1c1ccccc1
97.0,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O
97.0,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
97.0,Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@H]3C2)cc1
97.0,CS(=O)(=O)OC[C@@H](O)[C@@H](O)COS(C)(=O)=O
97.5999985,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
98.0,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
98.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
98.0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
98.0,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
98.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
98.0,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
98.0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
99.0,CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O
99.0,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
99.0,CN1CCC[C@@H](N2N[C@H](Cc3ccc(Cl)cc3)c3ccccc3C2=O)CC1
99.0,CC(C)(Oc1ccc(CCNC(=O)c2ccccc2)cc1)C(=O)O
99.0,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
99.0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
99.0,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1
99.0,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O
99.0,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
99.0,CC(=O)Nc1ccc([C@@H](O)CNC(C)C)cc1
99.0,Cc1ncc([N+](=O)[O-])n1CCO
99.0,O=C(O)c1ccccc1O
99.0,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
99.0,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
99.0,CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1
99.0,S=C=Nc1cccc2ccccc12
99.0,CN(C)CC[C@@H](c1ccccc1)c1ccccn1
99.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1
100.0,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
100.0,O=[P@]1(N(CCCl)CCCl)OCCCN1CCCl
100.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
100.0,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
100.0,CC(C)(C)NC[C@H](O)c1cc(Cl)c(N)c(Cl)c1
100.0,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](CN1CCCC1)NS2(=O)=O
100.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
100.0,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccc(Cl)cc1
100.0,CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1
100.0,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
100.0,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F
100.0,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
100.0,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
100.0,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
100.0,C[C@@H]1CN([C@H]2CC[C@@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1
100.0,C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2
100.0,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2
100.0,CC(C)CC[C@@H](O)COc1ccc(OCCOCC2CC2)cc1
100.0,COc1ccc([C@]2(C#N)CC[C@H](C(=O)O)CC2)cc1OC1CCCC1
100.0,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
100.0,Cc1cccc(C)c1NC(=O)[C@@H](C)N
100.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
100.0,CC[C@@H](C(N)=O)N1CCCC1=O
100.0,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)nc(N)[nH]c21
100.0,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
100.0,CCCC(CCC)C(=O)O
100.0,C=C[C@@H](N)CCC(=O)O
100.0,O=C(c1ccccc1)c1ccc2n1CC[C@@H]2C(=O)O
100.0,CN[C@@H](C)[C@@H](O)c1ccccc1
100.0,O[C@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1
100.0,CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1[C@H]2C/C(=C\COCC(=O)O)C[C@H]2C[C@H]1O
100.0,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
100.0,NS(=O)(=O)Cc1noc2ccccc12
100.0,CCOc1ccccc1OCCN[C@@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
100.0,COc1ccccc1OCCNC[C@@H](O)c1ccc(C)cc1S(N)(=O)=O
100.0,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
100.0,CCCN1C[C@@H](NS(=O)(=O)N(CC)CC)C[C@@H]2Cc3c(O)cccc3C[C@H]21
100.0,C[C@H]([C@@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O
100.0,CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O
100.0,NCCCNCCSP(=O)(O)O
100.0,CCCc1cc(C(N)=S)ccn1
100.0,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
0.0,CCN(CC)CCOC(=O)c1ccc(N)cc1
0.0,N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O
1.0,NC(=N\CCCCCC/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1
3.9000001,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
10.0,NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl
11.5,O=NN(CCCl)C(=O)NCCCl
13.0,CNCCCCOc1ccccc1Cc1ccccc1
21.0,Clc1ccc2nsnc2c1NC1=NCCN1
24.0,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
25.0,COc1ccccc1OCCNC[C@@H](O)OCc1cccc2[nH]c3ccccc3c12
49.0,CC[C@@]1(O)C(=O)CCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1
70.0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
70.0,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
72.0,CCCN(CCC)C(=O)Cc1c(-c2ccc(C)cc2)nc2ccc(C)cn12
75.0,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
75.0,O=C(O)[C@H]1/C(=C\CO)O[C@@H]2CC(=O)N21
100.0,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12
100.0,O=C1C(O)=C(O)O[C@@H]1[C@@H](O)CO
100.0,CN(C)[C@@H]1C(O)=C(C(=O)NCN[C@@H](CCCCN)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@@H]3C[C@@H]12
100.0,CN1C(C(=O)Nc2ccccn2)=Cc2sccc2S1(=O)=O
