Entry,logP,HIA,Caco-2,BBB,HOB,P-gp inhibition,P-gp substrate,CYP3A4 substrate,CYP2C9 substrate,CYP2D6 substrate,CYP3A4 inhibition,CYP2C9 inhibition,CYP2D19 inhibition,CYP2D6 inhibition,Carcinogenicity,Ames,Acute toxicity,logS,PPB (100%)
1,4.59,0.9884,-0.8139,0.9906,0.7857,0.9511,0.7666,0.6474,-0.8000,-0.7101,-0.9313,-0.8813,-0.8516,-0.7933,-0.7143,-0.5900,0.7058,-2.8490,1.0120
2,4.28,0.9937,-0.5623,0.9909,0.9000,0.8836,-0.8125,0.6674,-0.8176,0.4132,0.8206,-0.6272,0.6440,-0.6536,-0.9857,-0.5400,0.7006,-3.5950,0.9260
3,3.41,0.9867,0.5686,0.9778,0.8143,0.9297,-0.6913,0.5852,-0.7939,-0.8167,0.7194,-0.5739,0.5980,-0.6329,-0.9286,-0.5700,0.6971,-3.1590,0.9900
4,5.55,0.9447,-0.7743,0.9781,-0.7714,0.6579,-0.7647,0.6576,-0.6146,-0.8650,-0.7339,-0.6171,0.6370,-0.9145,-0.8000,-0.5100,0.4977,-4.5790,1.0170
5,3.33,0.9760,-0.6101,0.9752,0.9000,0.5899,0.8007,0.6352,-0.8060,-0.8229,-0.5991,-0.6437,-0.6261,-0.6846,-0.8571,-0.5200,0.5912,-3.2170,0.7580
6,3.31,0.9389,-0.8061,0.9665,-0.8571,0.7043,-0.8192,0.7130,-0.8018,-0.3820,0.7295,0.8008,0.5740,-0.3853,-0.8714,0.5200,0.6476,-3.7640,0.9390
7,6.14,0.9814,-0.8511,0.9738,-0.8429,0.8639,0.9343,0.6943,-1.0000,-0.7463,0.8065,-0.5544,0.5274,-0.7861,-0.9286,-0.5400,0.5949,-3.6470,1.0630
8,6.36,0.9614,-0.8021,0.9772,-0.6857,0.8382,0.9343,0.6277,-0.6161,-0.8870,0.6784,-0.5739,0.5554,-0.8275,-0.7147,0.5400,0.5433,-4.2810,0.9900
9,5.00,0.9925,-0.5229,0.9925,0.5857,0.8935,0.6420,0.6385,-0.8149,0.4604,0.5288,-0.7749,0.5867,0.7333,-0.9429,-0.5200,0.6520,-3.6500,0.9730
10,4.64,0.9319,-0.6666,0.9780,-0.6000,0.6743,0.5558,0.5768,-1.0000,-0.8725,0.7865,0.6434,0.6454,-0.7351,-0.8310,-0.5600,0.5982,-3.1820,0.9800
11,5.54,0.9325,-0.8125,0.9656,0.7714,0.8762,-0.5660,0.6675,-0.8005,-0.7744,-0.6808,-0.6228,-0.7587,-0.8819,-0.8857,-0.5500,0.5229,-3.6220,1.0120
12,5.69,0.9430,-0.7602,0.9781,-0.6857,0.6767,-0.6320,0.6596,-0.6130,-0.8621,-0.7339,-0.6171,0.6370,-0.9145,-0.8000,-0.5200,0.4977,-4.5790,1.0250
13,4.39,0.9535,-0.6583,0.9738,0.6286,0.9009,0.5191,0.7171,-0.7935,-0.7895,-0.6486,-0.7294,-0.7625,-0.5877,-0.8857,-0.5300,0.6927,-3.4740,0.9900
14,4.04,0.9791,-0.7614,0.8694,-0.7857,0.8830,0.7414,0.6999,-0.8012,-0.7697,-0.6456,-0.7729,-0.8332,-0.8735,-0.9000,-0.5100,0.7132,-3.3920,0.8910
15,4.07,0.9845,-0.7193,0.9743,0.6571,0.7011,0.6316,0.6583,0.5962,-0.8337,0.5000,-0.6474,-0.6218,-0.8149,-0.8534,-0.6100,0.5484,-4.0230,1.0300
16,4.51,0.9820,-0.7249,0.9717,0.5857,0.8475,0.7586,0.7243,-1.0000,-0.7337,0.7324,-0.8220,-0.8382,-0.7998,-0.7819,0.5600,0.6358,-3.5490,0.8830
17,5.09,0.9926,-0.8002,0.9812,0.6429,0.8381,0.7141,0.7128,-0.5976,-0.6771,-0.6629,-0.7762,-0.6184,-0.8217,-0.9714,-0.5400,0.5995,-3.7470,1.1450
18,5.93,0.9553,-0.8289,0.9764,0.6000,0.8968,0.6740,0.7417,-1.0000,-0.8176,0.6708,-0.6545,-0.6181,-0.7381,-0.7888,-0.5400,0.6594,-4.2610,1.0300
19,5.16,0.9718,-0.7284,0.9868,0.6857,0.8268,0.5000,0.6719,-0.8069,-0.7699,0.8521,0.5678,0.6526,-0.8219,-0.8646,-0.6600,0.5555,-3.9750,0.9723
20,4.18,0.9965,-0.6055,0.9889,-0.5286,0.8872,0.7481,0.6182,-1.0000,0.4024,-0.5297,-0.6063,0.5551,0.5642,-0.9857,0.5600,0.7124,-3.2440,0.8260
21,2.61,0.9941,-0.8423,0.9888,0.5429,0.8980,0.7810,0.6478,-1.0000,-0.7090,-0.8382,-0.5987,0.5089,-0.8493,-0.8857,-0.6200,0.5266,-3.4010,0.9790
22,3.66,0.9934,-0.5794,0.9813,0.6857,0.7653,0.7740,0.6287,-1.0000,-0.6718,0.6032,-0.6278,-0.8103,-0.7887,-0.9134,0.6100,0.7036,-3.7660,0.5170
23,5.67,0.9738,-0.6886,0.9855,-0.5000,0.7212,-0.5235,0.6043,-0.8075,-0.8971,-0.8795,-0.6154,-0.8343,-0.8997,-0.8571,-0.5100,0.7220,-4.0090,0.9940
24,5.64,0.9883,-0.6207,0.9743,0.7000,0.8302,-0.6273,0.6790,-1.0000,-0.8415,0.5317,-0.6665,-0.5198,-0.8784,-0.8857,0.5300,0.5870,-3.8250,0.8910